"","lon","lat"
"476",-82.9000751,32.1656221
"477",-3.435973,55.378051
"478",-94.582562,39.1005001
"480",-74.2282005,40.5773266
"481",115.8604572,-31.9505269
"482",-118.2436849,34.0522342
"483",-91.200184,43.422623
"484",-120.2308167,37.8388779
"485",0.3071749,51.620475
"487",-81.9934581,37.8487147
"488",3.3792057,6.5243793
"489",-81.5157535,27.6648274
"490",-77.4360481,37.5407246
"492",-75.1652215,39.9525839
"493",10.207897,54.1126444
"494",-2.745989,53.851965
"495",-80.3397906,33.9209943
"497",-84.5120196,39.1031182
"498",77.1024902,28.7040592
"499",-84.2700179,37.8393332
"500",-86.158068,39.768403
"501",-90.1994042,38.6270025
"502",-84.5249836,35.13182
"503",-117.1610838,32.715738
"504",-95.712891,37.09024
"505",13.404954,52.5200066
"506",-71.3824374,42.4072107
"507",-79.9958864,40.4406248
"508",-85.6023643,44.3148443
"509",-59.543198,13.193887
"510",23.7275388,37.9838096
"511",-81.7229086,41.4047742
"513",-95.712891,37.09024
"514",-84.3879824,33.7489954
"516",-105.7820674,39.5500507
"517",-95.712891,37.09024
"518",-91.9623327,30.9842977
"520",5.291266,52.132633
"521",103.819836,1.352083
"522",-92.0835669,46.8186613
"524",-79.0192997,35.7595731
"525",-118.2436849,34.0522342
"526",126.9779692,37.566535
"527",-0.1277583,51.5073509
"528",-94.5785667,39.0997265
"529",-87.7972754,41.6897548
"530",88.363895,22.572646
"531",-92.3810284,45.7857818
"533",-99.8606107,28.5219292
"534",-3.435973,55.378051
"535",-98.7820174,35.3781092
"536",-95.712891,37.09024
"537",29.4486263,-23.8961708
"538",-78.553357,40.7745065
"539",-82.9426424,42.397054
"540",-71.3824374,42.4072107
"541",-6.2603097,53.3498053
"542",-95.712891,37.09024
"544",-85.323214,51.253775
"545",-87.5741877,40.9887576
"546",-2.7044052,53.7632254
"547",-71.0588801,42.3600825
"548",-72.837309,44.1833508
"549",22.937506,-30.559482
"550",6.152703,49.5708937
"551",-71.4774291,41.5800945
"552",-95.7243335,37.2321077
"554",-77.0909809,38.8816208
"555",-118.4823465,34.2444351
"556",-73.7800339,40.7530679
"557",-106.346771,56.130366
"558",-104.9794787,39.7367329
"559",-117.1542121,46.7319225
"560",-96.0228889,41.207626
"561",48.0654706,29.2761034
"564",-88.7878678,43.7844397
"565",-97.3866837,32.3476438
"568",28.0473051,-26.2041028
"569",-82.9000751,32.1656221
"570",-92.9746367,43.6666296
"571",9.189982,45.4642035
"572",-1.61778,54.978252
"573",-95.712891,37.09024
"574",-74.0059728,40.7127753
"575",-75.7382478,41.353413
"576",0.407962,52.24488
"577",-106.4508639,52.9399159
"578",-97.7430608,30.267153
"579",-7.6920536,53.1423672
"580",-88.5862122,42.8777882
"581",-81.378447,40.7989473
"582",25.7481511,61.92411
"583",-105.084423,40.5852602
"587",-77.1945247,41.2033216
"588",-3.74922,40.463667
"591",-161.0327779,66.8383333
"592",-74.4056612,40.0583238
"593",-1.987248,50.71505
"594",-81.3333333,45
"595",-95.712891,37.09024
"596",-97.5653027,33.0787326
"597",-73.8648268,40.8447819
"598",-121.953293,36.9752283
"599",-90.1994042,38.6270025
"600",-80.8431267,35.2270869
"601",-86.1349019,40.2671941
"602",-99.9018131,31.9685988
"604",-81.6943605,41.49932
"605",-82.907123,40.4172871
"606",-89.3985283,40.6331249
"607",-0.1277583,51.5073509
"608",-0.1277583,51.5073509
"609",-83.6324022,32.8406946
"610",-85.7584557,38.2526647
"611",-123.1207375,49.2827291
"612",-72.9223431,41.3163244
"614",-90.0715323,29.9510658
"615",-95.6130447,36.3087638
"616",-88.7878678,43.7844397
"617",-74.896332,40.1181893
"619",-97.389139,37.6931367
"621",-93.670466,44.8569802
"623",-94.7404891,32.5007037
"625",-74.07701,40.9262762
"626",-95.712891,37.09024
"627",-69.4454689,45.253783
"628",-86.1349019,40.2671941
"630",-78.8783585,35.0526641
"631",-80.2414543,36.1039955
"632",55.2707828,25.2048493
"633",-95.712891,37.09024
"634",-95.712891,37.09024
"635",-87.6297982,41.8781136
"636",-84.8259353,34.1500774
"639",-99.9018131,31.9685988
"640",-86.135767,39.750168
"642",-95.992775,36.1539816
"643",153.4,-28.016667
"644",-95.712891,37.09024
"645",-85.6023643,44.3148443
"647",-82.4734787,36.2942722
"648",-93.2650108,44.977753
"649",-3.7837117,52.1306607
"650",8.2472526,49.9928617
"652",-83.7430378,42.2808256
"653",-71.5723953,43.1938516
"654",-74.0059728,40.7127753
"655",-73.9594438,40.7144279
"657",113.921327,-0.789275
"658",4.4970097,52.1601144
"659",-99.9018131,31.9685988
"660",-95.9626008,36.7499658
"661",-79.8296743,44.4716525
"662",-77.8600012,40.7933949
"664",-120.5542012,43.8041334
"666",-122.321286,47.622867
"667",-84.5120196,39.1031182
"668",-117.1610838,32.715738
"669",-95.712891,37.09024
"670",-95.7022734,37.2232081
"671",-95.3698028,29.7604267
"672",-95.712891,37.09024
"673",-75.3740561,40.6122161
"674",-83.0457538,42.331427
"675",-90.5462339,38.5950532
"676",-118.3540037,34.0627539
"677",-84.5499327,33.952602
"678",-76.6121893,39.2903848
"679",-95.266826,36.249758
"680",-73.9441579,40.6781784
"681",-149.4936733,64.2008413
"682",-79.3831843,43.653226
"683",-79.9310512,32.7764749
"684",-77.0593246,38.82409
"685",-122.1251418,48.1987118
"686",-86.5804473,35.5174913
"687",-72.9278835,41.308274
"688",-84.5037164,38.0405837
"689",-76.9425543,38.9869183
"691",-75.1652215,39.9525839
"692",28.0473051,-26.2041028
"693",-84.5222189,39.440463
"695",-84.2552969,39.903368
"696",-122.6902163,49.1190841
"697",-72.285215,18.971187
"698",-83.0457538,42.331427
"699",-74.4056612,40.0583238
"700",-76.6121893,39.2903848
"701",-97.0684538,36.1214653
"702",-118.2181308,34.6452645
"703",-84.3813236,33.8755837
"705",-87.6297982,41.8781136
"706",-77.1945247,41.2033216
"707",-79.866193,43.2626969
"709",-75.1652215,39.9525839
"710",-101.1949825,19.7059504
"711",-83.1746693,43.6008515
"712",-122.3320708,47.6062095
"713",-114.0708459,51.0486151
"714",-93.223889,36.700175
"715",-76.6121893,39.2903848
"717",-88.2569082,41.9225762
"718",-81.5884561,40.031183
"719",-81.5157535,27.6648274
"720",-0.1277583,51.5073509
"721",27.23409,-25.68215
"722",-89.3985283,40.6331249
"723",-95.712891,37.09024
