"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3288","After 15+ years without getting a stomach flu I think I got one. I got how bad vomiting sucks.  Either that or food poisoning.",FALSE,0,NA,2019-03-07 08:23:52,FALSE,NA,"1103571956924846081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Brandon00151",0,FALSE,FALSE,NA,NA
"3289","Boss: hannah. i’m in the office.
Me: <U+0001F640><U+0001F640><U+0001F640> OMG. I dnt wanna go inside. Why did you come here?do you still have the vi… https://t.co/4V8MosdWGD",FALSE,1,NA,2019-03-07 08:23:22,TRUE,NA,"1103571829669662721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suazotoyang",0,FALSE,FALSE,NA,NA
"3290","Lemsip flu drinks taste absolutely vile <U+0001F922>",FALSE,0,NA,2019-03-07 08:23:12,FALSE,NA,"1103571787122728960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ryanwightman17",0,FALSE,FALSE,NA,NA
"3292","@Beetzekouw Are you recovering well from the flu, b?",FALSE,0,"Beetzekouw",2019-03-07 08:22:40,FALSE,NA,"1103571656289804293","292865374","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OjayTsime",0,FALSE,FALSE,NA,NA
"3293","It's flu season!",FALSE,0,NA,2019-03-07 08:22:05,FALSE,NA,"1103571507878522882",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mosesthesixth",0,FALSE,FALSE,NA,NA
"3294","I promised @arabaekhyun to check our accomodation options, but it’s past 3PM alr and I’m still at Kemang, need to t… https://t.co/9CyYFejDly",FALSE,0,NA,2019-03-07 08:22:01,TRUE,NA,"1103571489998036993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iyess",0,FALSE,FALSE,NA,NA
"3297","Im so tempted to drive myself to iHop, flu and all.",FALSE,0,NA,2019-03-07 08:21:30,FALSE,NA,"1103571359576350720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakkPakk",0,FALSE,FALSE,NA,NA
"3298","This Is the Truth About Vaccines: Vaccinations save lives and are one of our greatest public health achievements. A… https://t.co/2nzgdE8639",FALSE,0,NA,2019-03-07 08:21:24,TRUE,NA,"1103571337182920704",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","wi_john",0,FALSE,FALSE,NA,NA
"3303","The rain also makes me caught a flu for the 3rd time in a half semester when I usually caught one in a year.",FALSE,0,NA,2019-03-07 08:19:48,FALSE,NA,"1103570931463544833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CyberJunkey",0,FALSE,FALSE,NA,NA
"3305","Maryland Flu Cases On the Rise https://t.co/TYmooRXviQ
.....<U+0001F64F><U+0001F607><U+0001F499>",FALSE,0,NA,2019-03-07 08:18:59,FALSE,NA,"1103570726962032640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","P1AceDetailing",0,FALSE,FALSE,NA,NA
"3306","@WokeLanklet Yang flu is infectious young man",FALSE,1,"WokeLanklet",2019-03-07 08:18:54,FALSE,"1103385104699850752","1103570707324256256","1077324468874293248","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aquaberryevola",0,FALSE,FALSE,NA,NA
"3307","Teen mom young and pregnant Kayla Sessler says her pregnancy was not planned and she was on BC. She says the flu an… https://t.co/lJMCIqsJWB",FALSE,19,NA,2019-03-07 08:18:33,TRUE,NA,"1103570619436879872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AntiTeenMomMeme",0,FALSE,FALSE,NA,NA
"3308","RT Questions about phlegm? We've got answers https://t.co/IkdyFpkKBk https://t.co/fMTuxjfcVN via EverydayHealth #health #well",FALSE,0,NA,2019-03-07 08:18:28,FALSE,NA,"1103570599232892933",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AllWellGuide",0,FALSE,FALSE,NA,NA
"3310","There were two meetings with PVT GYNEC DOCS. Dr. Bhati EMO SK informed for seasonal flu  action to be taken. Dr. Su… https://t.co/QNrBY6Uxsg",FALSE,7,NA,2019-03-07 08:17:39,TRUE,NA,"1103570393229475840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CdhoSabarkantha",0,FALSE,FALSE,NA,NA
"3312","After 4 days of battling this horrendous flu and feeling like a 3/10 I've woken up this morning feeling a solid 7/1… https://t.co/ckO5m0h4s7",FALSE,0,NA,2019-03-07 08:17:05,TRUE,NA,"1103570249180475392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GemTraher",0,FALSE,FALSE,NA,NA
"3314","@Manda54444072 I hear that. I'm currently pneumonia recovering, after having the flu last month <U+0001F611> I hope your flu i… https://t.co/YYQI5ZyIFk",FALSE,1,"Manda54444072",2019-03-07 08:16:45,TRUE,"1103547332346425344","1103570165223096321","1056527509947408385","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JoeSodapop1",0,FALSE,FALSE,NA,NA
"3315","When IRL friends link me the pewdiepie video with my arm from moving during a flu is that it's sent from m….",FALSE,0,NA,2019-03-07 08:16:26,FALSE,NA,"1103570086504382464",NA,"<a href=""http://localhost.localdomain"" rel=""nofollow"">staiain_ebooks</a>","staiain_ebooks",0,FALSE,FALSE,NA,NA
"3317","@Yorkshire_Dog1 <U+0001F49C><U+0001F49C><U+0001F49C> Finally slept some. Was up for almost 2 days with the birthday flu. Still sick, but happy for the naps. <U+0001F634>",FALSE,1,"Yorkshire_Dog1",2019-03-07 08:15:49,FALSE,"1103290125310660609","1103569929381527552","783936783054667778","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanceLikeNo0ne",0,FALSE,FALSE,NA,NA
"3318","Ever since I got the flu I’ve just stayed getting fucked up health wise. Been sick for a whole damn month just trying to feel normal again.",FALSE,0,NA,2019-03-07 08:15:27,FALSE,NA,"1103569839661203456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","im_spanos",0,FALSE,FALSE,NA,NA
"3320","Make #coconutoil energy bars to boost your #metabolism OR lemon, honey and ginger shot to recover from the #flu https://t.co/hFLdsFqQar",FALSE,0,NA,2019-03-07 08:15:06,FALSE,NA,"1103569752386088960",NA,"<a href=""http://tonguetie.net/"" rel=""nofollow"">TongueApp</a>","SuperfoodCure",0,FALSE,FALSE,NA,NA
"3323","""This Is the Truth About Vaccines"" by BRETT P. GIROIR, ROBERT R. REDFIELD and JEROME M. ADAMS via NYT… https://t.co/XdbSqIeMYe",FALSE,0,NA,2019-03-07 08:14:25,TRUE,NA,"1103569577269706752",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","afr0rican",1,FALSE,FALSE,NA,NA
"3324","I hate being sick ! It’s always so extra like I could have an common cold but it feels like the flu or pneumonia or something <U+0001F927><U+0001F912>",FALSE,0,NA,2019-03-07 08:14:20,FALSE,NA,"1103569556742815744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Btw_Im_TUTU",0,FALSE,FALSE,NA,NA
